
2025/03/15 (01:43:50) | ===> btop++ v.1.4.0
2025/03/15 (01:43:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (01:44:00) | ===> btop++ v.1.4.0
2025/03/15 (01:44:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (01:45:31) | ===> btop++ v.1.4.0
2025/03/15 (01:45:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (08:12:54) | ===> btop++ v.1.4.0
2025/03/15 (08:12:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/25 (16:48:41) | ===> btop++ v.1.4.0
2025/03/25 (16:48:41) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (19:17:08) | ===> btop++ v.1.4.0
2025/03/25 (19:17:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (19:17:10) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (19:23:01) | ===> btop++ v.1.4.0
2025/03/25 (19:23:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (12:33:44) | ===> btop++ v.1.4.0
2025/03/26 (12:33:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/30 (10:01:50) | ===> btop++ v.1.4.0
2025/03/30 (10:01:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/30 (10:02:18) | WARNING: Failed to join _runner thread on exit!

2025/04/01 (22:08:07) | ===> btop++ v.1.4.0
2025/04/01 (22:08:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/01 (22:08:42) | WARNING: Failed to join _runner thread on exit!

2025/04/03 (18:13:58) | ===> btop++ v.1.4.0
2025/04/03 (18:13:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/04 (23:41:22) | ===> btop++ v.1.4.0
2025/04/04 (23:41:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/05 (10:30:01) | ===> btop++ v.1.4.0
2025/04/05 (10:30:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
